Time,Position along path,x tool center WP,y tool center WP,x milling force WP,y milling force WP,z milling force WP
7.7805,778.0499999994374,83.34976985868299,-152.90365804806547,-963.2923179642827,-578.6540467830786,100.10176076645983
7.780600000000001,778.0599999994374,83.34074114278688,-152.89935800918022,-919.0787099620879,-509.31584587518404,93.60196821971655
7.7807,778.0699999994374,83.331715443623,-152.8950515980669,-859.9115557238227,-438.02258930535476,85.9659893257448
7.7808,778.0799999994374,83.32269272556948,-152.89073890159358,-804.0548838149974,-374.8246756511076,79.02525390696238
7.780900000000001,778.0899999994374,83.31367295261852,-152.8864200072183,-735.9949683011303,-312.31170336942967,71.22078620199211
7.781000000000001,778.0999999994374,83.30465608838837,-152.88209500295648,-665.3814219667877,-255.32843516819923,63.48614504623504
7.7811,778.1099999994374,83.29564209613542,-152.87776397734748,-593.0365965841822,-204.1227918970127,55.86932477477086
7.7812,778.1199999994374,83.28663093876641,-152.8734270194224,-517.2099060026394,-158.06206938090915,48.176410028246046
7.781300000000001,778.1299999994374,83.2776225788503,-152.86908421867028,-443.9931619280203,-118.91302780600371,40.94475730469964
7.7814000000000005,778.1399999994374,83.26861697863059,-152.8647356650059,-359.2420497703171,-82.89416148864576,32.84209688042629
7.7815,778.1499999994373,83.25961410003717,-152.8603814487362,-275.31058475188877,-53.482185611188896,24.983069430979082
7.7816,778.1599999994373,83.2506139046985,-152.85602166052797,-186.69693971801732,-29.54793909220032,16.837923332357608
7.781700000000001,778.1699999994373,83.2416163539537,-152.8516563913743,-99.28934624746861,-12.179638611066624,8.910969769156356
7.7818000000000005,778.1799999994373,83.2326214088646,-152.84728573256194,0.0,0.0,0.0
7.7819,778.1899999994373,83.22362903022783,-152.8429097756383,0.0,0.0,0.0
7.782,778.1999999994373,83.21463917858685,-152.83852861237864,0.0,0.0,0.0
7.782100000000001,778.2099999994373,83.20565181424406,-152.83414233475278,0.0,0.0,0.0
7.7822000000000005,778.2199999994373,83.19666689727303,-152.82975103489258,0.0,0.0,0.0
7.7823,778.2299999994373,83.18768438753018,-152.8253548050586,0.0,0.0,0.0
7.7824,778.2399999994373,83.17870424466724,-152.82095373760728,0.0,0.0,0.0
7.782500000000001,778.2499999994373,83.16972642814324,-152.81654792495814,0.0,0.0,0.0
7.7826,778.2599999994372,83.1607508972364,-152.81213745956077,-636.0091967904273,-428.8874870145587,68.3336672667771
7.7827,778.2699999994372,83.15177761105647,-152.80772243386167,-1018.906384060876,-636.5208801184713,107.0192292634686
7.7828,778.2799999994372,83.14280652855655,-152.80330294027152,-972.5832189383582,-561.3724507684285,100.03374461235622
7.782900000000001,778.2899999994372,83.13383760854545,-152.7988790711323,-919.2383784648083,-488.63247709503077,92.73547067066474
7.783,778.2999999994372,83.12487080969944,-152.794450918684,-862.3869081390131,-420.49175812722444,85.46667686229634
7.7831,778.3099999994372,83.11590609057464,-152.79001857503204,-806.670763716339,-359.0421015504035,78.65441796604331
7.783200000000001,778.3199999994372,83.10694340961882,-152.78558213211403,-736.9411274140806,-297.6452205170557,70.79880925958572
7.7833000000000006,778.3299999994372,83.09798272518377,-152.78114168166718,-670.5174682335576,-243.9613057495663,63.56020582468335
7.7834,778.3399999994372,83.0890239955371,-152.77669731519484,-593.2272352813043,-192.67598822965104,55.56198026866521
7.7835,778.3499999994372,83.08006717887447,-152.77224912393405,-513.580117790618,-147.2029790571819,47.591722882526355
7.783600000000001,778.3599999994372,83.07111223333159,-152.76779719882228,-433.2843150708668,-107.97712661497161,39.77732509227019
7.7837000000000005,778.3699999994371,83.0621591169964,-152.76334163046465,-350.3554732233186,-74.42835384594817,31.906052063106067
7.7838,778.3799999994371,83.05320778792053,-152.75888250910285,-265.20054899043475,-46.730648057846906,23.987960312230502
7.7839,778.3899999994371,83.04425820412709,-152.75441992459994,-178.2381558935752,-25.028891548592764,16.033194062616825
7.784000000000001,778.3999999994371,83.03531032361427,-152.7499539664418,-89.8964477499577,-9.438072354283358,8.05196895325413
7.7841000000000005,778.4099999994371,83.02636410435822,-152.7454847237408,0.0,0.0,0.0
7.7842,778.4199999994371,83.01741950431611,-152.7410122852401,0.0,0.0,0.0
7.7843,778.4299999994371,83.00847648142904,-152.73653673931736,0.0,0.0,0.0
7.784400000000001,778.4399999994371,82.99953499362495,-152.73205817398897,0.0,0.0,0.0
7.7845,778.4499999994371,82.9905949988216,-152.72757667691363,0.0,0.0,0.0
7.7846,778.4599999994371,82.98165645492969,-152.7230923353968,0.0,0.0,0.0
7.7847,778.469999999437,82.97271931985544,-152.71860523639424,0.0,0.0,0.0
7.784800000000001,778.479999999437,82.963783551504,-152.71411546651623,-506.0738333190918,-354.2702123887222,55.02925453542505
7.7849,778.489999999437,82.95484910778205,-152.70962311203158,-1067.5903023243047,-693.1271648641687,113.38615142922704
7.785,778.499999999437,82.9459159466009,-152.70512825887127,-1018.3151247880244,-611.7064953910019,105.81952653979134
